ISIN,Name,Type,Source,Shares,Price_Local,Value_Local,Buy_Price_Local,Buy_Value_Local,Currency,Last_Updated,Notes,FX_Rate_to_EUR,Price_EUR,Value_EUR,Buy_Price_EUR,Buy_Value_EUR
LU1479563717,AGIF-ALLIANZ THEMATIC.AEO,Stock/ETF,Germany,49.6497,174.02,8640.04,201.4111,10000.0,EUR,,,,,,,
US0231351067,"AMAZON.COM INC.    DL-,01",Stock/ETF,Germany,20.0,164.6,3292.0,130.2745,2605.49,EUR,,,,,,,
NO0010014632,ARCTICZYMES TECH ASA NK 1,Stock/ETF,Germany,750.0,1.365,1023.75,6.4794,4859.55,EUR,,,,,,,
GB00BN7CG237,ASTON MARTIN LAG.GLB.HLDG,Stock/ETF,Germany,51.0,0.762,38.86,15.021,766.07,EUR,,,,,,,
DE000A2LQ884,AUTO1 GROUP SE  INH O.N.,Stock/ETF,Germany,400.0,17.84,7136.0,7.2275,2891.0,EUR,,,,,,,
US14218T1051,CARL ZEISS MEDITEC ADR 1,Stock/ETF,Germany,17.0,55.0,935.0,146.7812,2495.28,EUR,,,,,,,
KYG8208B1014,JD.COM. INC. A,Stock/ETF,Germany,1.0,16.694,16.69,33.45,33.45,EUR,,,,,,,
DE0008232125,LUFTHANSA AG VNA O.N.,Stock/ETF,Germany,270.0,6.068,1638.36,3.6158,976.27,EUR,,,,,,,
US55087P1049,"LYFT INC. CL.A -,00001",Stock/ETF,Germany,25.0,9.803,245.08,38.3884,959.71,EUR,,,,,,,
KYG596691041,MEITUAN CL.B,Stock/ETF,Germany,2.0,16.55,33.1,,,EUR,,Missing Buy_Price_EUR; Missing Buy_Value_EUR,,,,,
DE0007100000,MERCEDES-BENZ GRP NA O.N.,Stock/ETF,Germany,70.0,49.1,3437.0,19.4309,1360.16,EUR,,,,,,,
US65339F1012,"NEXTERA ENERGY INC.DL-,01",Stock/ETF,Germany,38.0,58.6,2226.8,65.9629,2506.59,EUR,,,,,,,
US62914V1061,"NIO INC.A S.ADR DL-,00025",Stock/ETF,Germany,450.0,3.17,1426.5,28.7999,12959.96,EUR,,,,,,,
US67066G1040,"NVIDIA CORP.      DL-,001",Stock/ETF,Germany,120.0,99.41,11929.2,20.8483,2501.8,EUR,,,,,,,
US8740391003,TAIWAN SEMICON.MANU.ADR/5,Stock/ETF,Germany,10.0,138.2,1382.0,104.56,1045.6,EUR,,,,,,,
KYG875721634,"TENCENT HLDGS   HD-,00002",Stock/ETF,Germany,21.0,51.68,1085.28,45.4643,954.75,EUR,,,,,,,
US88160R1014,"TESLA INC. DL -,001",Stock/ETF,Germany,37.0,224.0,8288.0,158.5797,5867.45,EUR,,,,,,,
LU1883318740,AMF-GL.ECO.ESG A UNH.EOA,Stock/ETF,Germany,7.627,434.87,3316.75,280.41,2138.69,EUR,,,,,,,
